run_id,seed,variant,host,date,code,trigger,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
0e04134ac6ef,0,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.147604,0.266667,0,0.2675,0.0340899,0.411472,0.0225834,877.508,0.724477,0.161262,0.637806,0.148837,0.00788737,0.262912
632f0963bfe9,1,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.603929,0.433333,0,0.233846,0.0374615,0.291294,0.010834,2.31202e+06,57.164,0.853657,0.972327,0.0450896,0.00936956,0.312319
5457d896e232,2,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.352103,0.366667,0,0.257273,0.0348051,0.358356,0.0121209,4.49779e+06,6.03769,0.472698,0.942873,0.0579026,0.00899911,0.29997
77bba30b51ff,3,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.218769,0.266667,0,0.2425,0.0436525,0.360122,0.0155143,89.5133,1.45703,0.261076,0.516998,0.0996966,0.00828991,0.27633
b2c434a0ecef,4,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.447421,0.466667,0,0.272143,0.0368377,0.281594,0.0142897,161361,10.1708,0.617401,1.26124,0.141442,0.0095581,0.318603
b2055ab3ceee,5,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.735455,0.666667,0,0.254,0.0269217,0.202201,0.0100395,2.98943e+08,693.599,1.24882,1.45924,0.138182,0.0106639,0.355464
caa9fdfe2269,6,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.193176,0.233333,0,0.234286,0.0386777,0.397725,0.0146932,1.01839e+06,0.669808,0.206195,0.625033,0.159713,0.00799343,0.266448
c7e47ef72f62,7,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.276397,0.3,0,0.254444,0.0373174,0.375272,0.0115505,1221.44,0.637819,0.436967,0.565008,0.0356343,0.00789138,0.263046
ece043013f80,8,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.198615,0.266667,0,0.24125,0.0416485,0.382658,0.0109852,2.7926e+06,1.14581,0.297917,0.37347,0.0771442,0.00794855,0.264952
8ca85798b967,9,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.691746,0.533333,0,0.22625,0.0358168,0.234653,0.0128537,1.14829e+07,76.3461,0.980672,1.02189,0.0385775,0.0101175,0.33725
e3a9d096f76d,10,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.104884,0.2,0,0.265,0.0394749,0.437879,0.0121008,1.3401e+06,0.571073,0.152543,0.143097,0.0782628,0.00751345,0.250448
a3392dfacf1e,11,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.207006,0.233333,0,0.232857,0.0405164,0.406306,0.0279709,18.972,0.776735,0.27745,0.404943,0.180531,0.0076971,0.25657
9bfbe25a9087,12,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.105538,0.266667,0,0.28,0.0389841,0.405968,0.0100003,8.65751e+06,0.688221,0.125176,0.197584,0.0400022,0.00814266,0.271422
72a21b7c0b84,13,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.348772,0.366667,0,0.285455,0.0358991,0.357619,0.0110375,131.114,4.51927,0.535818,0.6488,0.196917,0.00908698,0.302899
0c27404aad00,14,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.266855,0.233333,0,0.237143,0.0425209,0.361777,0.010425,1.94707e+06,3.70252,0.301148,0.429207,0.0825468,0.00771873,0.257291
0214bb949b58,15,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.209501,0.233333,0,0.252857,0.0390238,0.404691,0.0102357,484750,0.466619,0.275287,0.128385,0.136983,0.00824571,0.274857
991e59c6012f,16,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.718586,0.5,0,0.272,0.0305886,0.301136,0.0238132,219157,104.492,1.03456,1.08406,0.0504618,0.00958339,0.319446
94f22138efe0,17,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.172574,0.266667,0,0.27,0.0386488,0.387461,0.0314188,7.13673,1.01794,0.227173,0.304499,0.124307,0.00823172,0.274391
32a793f940d9,18,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.155754,0.233333,0,0.254286,0.0415912,0.380021,0.0153564,2.27017,0.673378,0.176176,0.74217,0.131448,0.00801254,0.267085
31ef4081be74,19,ESS threshold (0.2),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.2),0.526915,0.5,0,0.249333,0.037765,0.275635,0.0113481,1.39165e+06,45.9056,0.832017,0.86952,0.0131451,0.00952625,0.317542
62f301a0d93f,0,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.169273,0.466667,0,0.460714,0.0179054,0.515317,0.0225834,878.063,0.617289,0.19039,0.643282,0.0812229,0.00937412,0.312471
3cb74bfd9aa1,1,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.402912,0.533333,0,0.41,0.0175201,0.449409,0.010834,2.31156e+06,1.42139,0.508912,0.870069,0.123246,0.00930008,0.310003
374190fc56c3,2,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.377096,0.566667,0,0.414706,0.0163198,0.458612,0.0121209,4.49775e+06,4.2576,0.506864,0.971121,0.0663014,0.00947611,0.31587
870ec1377967,3,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.214431,0.5,0,0.468,0.0181643,0.504187,0.0155143,72.7472,1.27675,0.277463,0.512161,0.0380192,0.00900073,0.300024
dd695784ddbc,4,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.799416,0.8,0,0.36625,0.0138776,0.294358,0.0142897,164755,188.148,1.22029,1.36487,0.096321,0.0118013,0.393378
ebc8f7727383,5,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.76313,0.766667,0,0.310435,0.01422,0.263428,0.0100395,2.98943e+08,620.968,1.22947,1.45774,0.0930613,0.0117598,0.391992
ff6e940b7332,6,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.218933,0.466667,0,0.461429,0.0174978,0.539582,0.0146932,1.0184e+06,1.04267,0.239972,0.655349,0.124965,0.00970608,0.323536
39802c4f3f4b,7,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.270426,0.533333,0,0.4725,0.0165451,0.507697,0.0115505,1117.03,1.46255,0.42174,0.557897,0.103549,0.0096588,0.32196
6ab2fd8cf995,8,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.199076,0.433333,0,0.438462,0.0191598,0.512705,0.0109852,2.79258e+06,0.541575,0.263448,0.360615,0.11577,0.00896116,0.298705
38a9d9d467f4,9,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.539952,0.633333,0,0.402632,0.015003,0.421459,0.0186666,1.14819e+07,2.01779,0.682377,0.828009,0.0525049,0.0110766,0.369221
e2151e9955fa,10,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.104459,0.366667,0,0.474545,0.0188982,0.576712,0.0121008,1.3401e+06,0.44303,0.145999,0.147379,0.0854331,0.00922514,0.307505
bcdb967b1b25,11,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.213291,0.466667,0,0.48,0.01838,0.528015,0.0279709,12.4622,0.821109,0.285101,0.418102,0.156755,0.00969056,0.323019
0954de075021,12,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.116299,0.4,0,0.473333,0.018724,0.56446,0.0100003,8.65751e+06,0.599106,0.124855,0.18311,0.113527,0.00915794,0.305265
f45787d16391,13,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.314674,0.533333,0,0.479375,0.0187252,0.480203,0.0110375,127.189,1.34379,0.470441,0.621448,0.179513,0.0102021,0.34007
8a231ff7d009,14,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.21935,0.466667,0,0.467143,0.0175878,0.521254,0.010425,1.94705e+06,1.2062,0.263513,0.326663,0.0968188,0.00969538,0.323179
f4253ed6f63a,15,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.22052,0.4,0,0.4425,0.0202078,0.536745,0.0102357,484751,0.651489,0.286231,0.142355,0.102051,0.00902495,0.300832
5afe471c03a6,16,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.58855,0.7,0,0.437143,0.0137884,0.404188,0.0238132,218021,11.7771,0.783992,1.03685,0.0346556,0.0104593,0.348643
4a32db1de4eb,17,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.144881,0.433333,0,0.476154,0.0187615,0.550804,0.0314188,7.84393,0.533784,0.173072,0.266259,0.109967,0.00880708,0.293569
de42f6823b16,18,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.153615,0.466667,0,0.447143,0.0193437,0.511345,0.0153564,2.03453,0.472284,0.183946,0.7422,0.156527,0.00914026,0.304675
782e86a6d7de,19,ESS threshold (0.5),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.5),0.601868,0.766667,0,0.370435,0.0125039,0.334732,0.0113481,1.39113e+06,78.2166,0.901115,1.08534,0.0408324,0.0114317,0.381057
dcefdce823ee,0,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.158901,0.766667,0,0.637826,0.011431,0.660203,0.0225834,877.163,0.507065,0.166404,0.639916,0.0631856,0.0116617,0.388724
5318e51fa2a0,1,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.401222,0.766667,0,0.565652,0.0117383,0.545701,0.010834,2.31156e+06,1.99213,0.506383,0.864584,0.0568528,0.0115898,0.386327
104ddfc475c4,2,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.272208,0.733333,0,0.549545,0.0119274,0.558122,0.0121209,4.4977e+06,2.35504,0.388953,0.90997,0.0689315,0.0114337,0.381124
b44afd7f4e7e,3,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.223541,0.766667,0,0.594783,0.0118021,0.582602,0.0155143,72.6094,1.10187,0.273504,0.511064,0.0559309,0.0115808,0.386028
52b69632a0b8,4,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.819359,0.9,0,0.411111,0.0106538,0.309134,0.0142897,164755,188.148,1.219,1.36491,0.0779696,0.0124588,0.415295
350c501af2f6,5,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.888342,0.933333,0,0.375,0.0104702,0.260692,0.0100395,2.98947e+08,614.618,1.40817,1.63944,0.0986028,0.0125418,0.41806
1c9ade05a09f,6,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.227598,0.766667,0,0.627391,0.0117176,0.632438,0.0146932,1.0184e+06,1.15967,0.253777,0.652106,0.116947,0.0117613,0.392042
da4226b347b8,7,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.27325,0.866667,0,0.628462,0.0111396,0.592539,0.0115505,1116.68,1.51027,0.420364,0.549253,0.0899762,0.012144,0.4048
4f3935066b81,8,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.176072,0.733333,0,0.632727,0.0118513,0.646297,0.0109852,2.79258e+06,0.498827,0.242039,0.34653,0.0857992,0.0112535,0.375118
c0e3c6d4343a,9,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.526034,0.8,0,0.507083,0.0113355,0.486943,0.0186666,1.14819e+07,1.61509,0.68158,0.829325,0.0563672,0.0110778,0.369259
a73734c6107c,10,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.107922,0.6,0,0.642778,0.0125854,0.705923,0.0121008,1.3401e+06,0.58451,0.152034,0.142838,0.0923188,0.00981668,0.327223
cb27a9d007c2,11,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.218105,0.733333,0,0.620455,0.0117131,0.632858,0.0279709,12.8823,1.62085,0.287176,0.417645,0.171383,0.0106294,0.354314
14989d8fc39b,12,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.126595,0.8,0,0.6675,0.0114543,0.677015,0.0100003,8.65751e+06,0.717609,0.131808,0.184431,0.104899,0.0114454,0.381515
8673812da328,13,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.39721,0.766667,0,0.562174,0.0115066,0.547418,0.0110375,136.322,2.44495,0.59887,0.684558,0.150801,0.0107951,0.359835
435595eae36e,14,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.212872,0.833333,0,0.6528,0.0112053,0.63687,0.010425,1.94705e+06,0.994744,0.262061,0.318736,0.162081,0.0115934,0.386446
5e58fc7b40e0,15,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.217,0.833333,0,0.6864,0.0111718,0.679685,0.0102357,484751,0.422853,0.275963,0.136466,0.0919251,0.011721,0.390702
c7cd0df18c52,16,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.594425,0.866667,0,0.542692,0.0108988,0.482437,0.0238132,218021,12.1007,0.784513,1.03745,0.0330831,0.0121091,0.403637
466d1079874c,17,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.148428,0.866667,0,0.671154,0.0109547,0.663653,0.0314188,7.3051,0.643643,0.176358,0.26844,0.13172,0.0121156,0.403854
dc3702a652b1,18,ESS threshold (0.8),aiserver,2026-09-14T08:33:53+00:00,d7328d3e3c3f,ess_threshold (threshold=0.8),0.167569,0.8,0,0.630833,0.0114088,0.631192,0.0153564,2.09985,0.483829,0.181193,0.731925,0.174677,0.0117712,0.392373
