run_id,seed,variant,host,date,code,range_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
81b319cdc137,16,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0500728,0.4,0,0.368042,0.00156548,0.505332,0.0020779,79.9435,2.66478,13.1437,3.1041,0.0622013,0.0540809,0.0128105,0.0360057,1.20019
a1b2ab3015d4,17,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0531297,0.566667,0,0.381,0.00103766,0.45369,0.00166925,-30.1831,-1.0061,38.807,14.113,0.0620299,0.068757,0.0387486,0.0769284,2.56428
eee5f0c0ed7b,18,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0435724,0.666667,0,0.378875,0.000934189,0.389178,0.00674518,-90.2698,-3.00899,208.184,225.506,0.141406,0.0744048,0.176082,0.0794693,2.64898
8ebeaa524f5f,19,0.08,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.08,0.0438331,0.5,0,0.408167,0.00129245,0.454816,0.0235576,41.3751,1.37917,251.287,103.573,0.106253,0.076752,0.133049,0.0726388,2.42129
2b552e71c7f5,0,0.107,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.107,0.0449431,0.466667,0,0.420107,0.00150308,0.454455,0.0266708,133.161,4.43869,3.01401,2.62359,0.050467,0.0501274,0.019033,0.0686588,2.28863
7b95cdcfdd61,1,0.107,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.107,0.0549292,0.533333,0,0.480531,0.00110303,0.499646,0.104184,158.053,5.26842,3.83046,3.08477,0.0596282,0.059043,0.0152928,0.0401906,1.33969
d275864d36b0,2,0.107,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.107,0.0545054,0.5,0,0.434033,0.00118062,0.488851,0.00824382,3.23623,0.107874,410.979,206.754,0.13045,0.086645,0.19719,0.0392979,1.30993
f855c59930d4,3,0.107,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.107,0.0384789,0.6,0,0.497528,0.00138134,0.460179,0.068469,132.726,4.42421,11.6038,10.2857,0.0615623,0.0324678,0.0462334,0.0423667,1.41222
1706d0d5324c,4,0.107,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.107,0.0406735,0.433333,0,0.411462,0.00111894,0.499259,0.0724592,111.846,3.72819,13.6199,13.7029,0.0578118,0.0408903,0.0598242,0.0677887,2.25962
a8e1f2560881,5,0.107,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.107,0.0564729,0.566667,0,0.456059,0.0012059,0.459538,0.00176361,-154.391,-5.14636,6995.97,1639.47,0.284608,0.130312,0.46266,0.073882,2.46273
615b21764ef1,6,0.107,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.107,0.0729751,0.5,0,0.343033,0.00121483,0.457861,0.0154899,123.916,4.13052,41.6495,28.1516,0.0775781,0.0713689,0.0758511,0.0403275,1.34425
5bdac3c7f099,7,0.107,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.107,0.0456789,0.5,0,0.434433,0.00121938,0.481014,0.0494259,146.641,4.88804,4.98007,4.43697,0.062106,0.0484139,0.058427,0.0722987,2.40996
e59286c6e50a,8,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0684169,0.533333,0,0.436156,0.00106905,0.486822,0.0346709,-99.5709,-3.31903,4787.16,671.022,0.276245,0.133918,0.445405,0.0712351,2.3745
12b447846d12,9,0.107,labdesktop,2026-09-20T09:56:15+00:00,1073b69d29e5,0.107,0.0528751,0.466667,0,0.443143,0.00107368,0.533489,0.00544758,68.0404,2.26801,188.392,193.7,0.122346,0.0802566,0.103107,0.0381728,1.27243
a309ed74ce70,10,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0366852,0.466667,0,0.472821,0.00126857,0.504802,0.147032,159.529,5.31763,6.00999,5.87224,0.0536642,0.0478472,0.0267718,0.0378106,1.26035
590461afadc8,11,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0476706,0.366667,0,0.453182,0.00151699,0.499506,0.0800342,150.088,5.00292,6.40702,5.09868,0.049028,0.0399765,0.047167,0.0644373,2.14791
c7c9afba43af,12,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0438023,0.466667,0,0.428679,0.00120291,0.493419,0.0261624,89.4475,2.98158,21.0335,19.9188,0.0813838,0.0339061,0.0593745,0.0691947,2.30649
06ac82f8b098,13,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0544398,0.433333,0,0.481346,0.00106423,0.543748,0.0209216,153.444,5.11481,11.1715,9.23284,0.0805498,0.052171,0.0489056,0.0684935,2.28312
4eacb3b70628,14,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0510222,0.6,0,0.430806,0.00114428,0.448939,0.0239609,51.8961,1.72987,13.7205,11.4259,0.0870461,0.0572,0.0312043,0.0731237,2.43746
176928c7bc8c,15,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0403132,0.366667,0,0.486273,0.00106679,0.598852,0.11131,193.365,6.44551,9.55048,8.5924,0.0648348,0.0270922,0.0107744,0.0349887,1.16629
8726830f38af,16,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0580027,0.433333,0,0.428808,0.00110476,0.523905,0.0404321,175.267,5.84224,19.8464,12.9075,0.0819694,0.050508,0.0249393,0.0360502,1.20167
edacd9c116a3,17,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0570507,0.433333,0,0.350192,0.00127898,0.467117,0.0151831,113.997,3.79989,8.94036,6.54991,0.0705132,0.060947,0.0441638,0.0670257,2.23419
7dbd439a1f58,18,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0429114,0.5,0,0.4112,0.00118369,0.461613,0.0494454,97.2828,3.24276,29.9634,22.1173,0.102559,0.0618914,0.113612,0.0700227,2.33409
3cfb09754942,19,0.107,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.107,0.0480444,0.4,0,0.437917,0.00124684,0.50971,0.0247987,174.224,5.80746,11.3827,10.7625,0.0676368,0.0628034,0.0458081,0.035573,1.18577
2c6795534982,0,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0401665,0.366667,0,0.473909,0.00114578,0.583128,0.112538,188.857,6.29523,1.45647,1.2389,0.0439469,0.0465433,0.0153314,0.0662687,2.20896
dbe2a00bb6e0,1,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0475269,0.433333,0,0.492115,0.00109519,0.554055,0.177411,203.769,6.79231,2.08145,1.60067,0.0504037,0.0456196,0.0165807,0.0655408,2.18469
cfaa9af60d81,2,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0537255,0.366667,0,0.441864,0.00125013,0.561026,0.0187625,149.011,4.96704,43.6406,49.7567,0.0830769,0.0625004,0.0304754,0.0350946,1.16982
33966f305f92,3,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0370419,0.4,0,0.491708,0.00116156,0.561067,0.0521157,186.78,6.226,6.26153,5.64095,0.0613416,0.02642,0.0204401,0.0362359,1.20786
d01c9ce12f8f,4,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0392202,0.366667,0,0.469409,0.00114434,0.561998,0.0513868,176.234,5.87446,10.3058,10.2774,0.0527982,0.0363444,0.0347126,0.0343876,1.14625
04c5f42a9356,5,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0568608,0.366667,0,0.446364,0.00135972,0.55337,0.00287665,186.225,6.20749,6.11866,5.28681,0.071031,0.0825533,0.0191962,0.0672829,2.24276
373ca7873f81,6,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0529446,0.4,0,0.482708,0.00110656,0.556291,0.127251,188.933,6.29776,5.65169,5.55729,0.0610855,0.0548384,0.0296316,0.0681977,2.27326
3445f46ef3df,7,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0434436,0.433333,0,0.510231,0.00102366,0.58555,0.20817,198.451,6.61504,3.51838,3.27922,0.0652043,0.0473887,0.0644024,0.037728,1.2576
06e90fdaaf5c,8,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0817429,0.4,0,0.432083,0.00112326,0.551182,0.0728396,141.556,4.71852,245.183,107.481,0.162824,0.112465,0.19633,0.0682763,2.27588
636e55833fc3,9,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0578677,0.533333,0,0.504406,0.000955949,0.52032,0.0676997,173.566,5.78555,4.16315,3.76431,0.0739637,0.062963,0.0871018,0.0696212,2.32071
5e873b517575,10,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0310018,0.3,0,0.506333,0.00124765,0.583519,0.202537,204.785,6.82618,3.63587,3.42473,0.0452822,0.0363426,0.0232115,0.0323934,1.07978
838ea42793f9,11,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0419529,0.3,0,0.460444,0.00140514,0.569563,0.189621,201.622,6.72074,5.3557,3.5566,0.0439047,0.034878,0.0302192,0.0319412,1.06471
1fed2195bb54,12,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0362468,0.333333,0,0.45595,0.00125002,0.568455,0.145865,162.729,5.42429,10.7551,9.67942,0.0673406,0.0351717,0.0609318,0.0336632,1.12211
714c5741db72,13,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0499478,0.3,0,0.426222,0.00114306,0.580558,0.134455,203.604,6.7868,7.23034,6.45145,0.0773641,0.0472766,0.0538001,0.0636888,2.12296
3b28f1aade3f,14,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0450434,0.5,0,0.493067,0.000914774,0.541942,0.15073,142.671,4.75569,7.64701,6.83101,0.0828197,0.0440087,0.0374919,0.0716583,2.38861
178d1b5b5326,15,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0395657,0.266667,0,0.490438,0.00117489,0.622529,0.195193,220.525,7.35082,6.43204,6.6649,0.0665419,0.0242653,0.00923419,0.0304678,1.01559
f4dacad3ed57,16,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0463082,0.433333,0,0.505654,0.000949711,0.572574,0.180139,218.775,7.2925,3.5016,2.28133,0.0608249,0.03792,0.0273715,0.068847,2.2949
dc1462de3e79,17,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0525805,0.366667,0,0.422545,0.00123672,0.557475,0.0526822,174.379,5.81265,2.64632,1.64928,0.0642613,0.0482004,0.0507198,0.0633748,2.11249
54b4a15632a3,18,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0419464,0.433333,0,0.484231,0.00152519,0.505929,0.0825175,170.648,5.68827,8.73439,8.20409,0.0840013,0.0512554,0.0801094,0.0379494,1.26498
a79693efbaa2,19,0.142,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.142,0.0495325,0.366667,0,0.478045,0.00120181,0.556904,0.132821,210.893,7.02978,5.13114,4.76119,0.065413,0.0564481,0.0364249,0.0346712,1.15571
a5e9b6b1b030,0,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0377967,0.233333,0,0.465357,0.00126668,0.617137,0.254439,205.875,6.86251,0.912205,0.77683,0.0400596,0.0403194,0.0171136,0.0296136,0.98712
612838bdbfb9,1,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0444522,0.3,0,0.500611,0.00151968,0.562067,0.234937,215.381,7.17936,1.06909,0.777034,0.048047,0.0410197,0.0160633,0.0609308,2.03103
bda193c9e155,2,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.051573,0.266667,0,0.446187,0.00115363,0.628379,0.0669603,188.319,6.2773,10.8493,9.46504,0.0804497,0.041377,0.042547,0.030238,1.00793
7c2f1210c55f,3,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0368218,0.3,0,0.521889,0.00125133,0.611151,0.159743,203.62,6.78735,5.32498,4.57094,0.0625782,0.0247067,0.0223929,0.032018,1.06727
45c4eb79d08f,4,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0420069,0.233333,0,0.464,0.00117516,0.620059,0.23717,199.28,6.64268,5.10701,5.34908,0.0538323,0.0373171,0.0372558,0.0299262,0.99754
66072892029f,5,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0497186,0.233333,0,0.427429,0.00115909,0.634678,0.0512771,210.129,7.00431,1.29461,1.04369,0.0522073,0.0616394,0.019234,0.0304624,1.01541
ad6707d6c1eb,6,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0462247,0.366667,0,0.488227,0.00119272,0.566797,0.0963287,208.19,6.93968,3.72946,3.67449,0.0585081,0.044077,0.0213517,0.0645539,2.1518
87128007132f,7,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0462037,0.3,0,0.524556,0.00124284,0.607705,0.249325,213.352,7.11175,3.4585,3.20397,0.073464,0.0492588,0.0813901,0.0630252,2.10084
9c402ee3cee6,8,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0914991,0.333333,0,0.4594,0.00103708,0.622961,0.146137,189.703,6.32343,7.62166,6.89566,0.107512,0.0945567,0.0397554,0.0342988,1.14329
2f8584f383b2,9,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0464768,0.4,0,0.513125,0.00103403,0.59108,0.263768,195.466,6.51553,1.3668,0.88835,0.0536186,0.0458875,0.0470117,0.0646306,2.15435
f1b27d37d15c,10,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0278146,0.266667,0,0.527188,0.00122021,0.61547,0.258066,216.283,7.20943,2.3824,2.21236,0.0416417,0.0268221,0.0257116,0.0310433,1.03478
e57fd2351593,11,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0335929,0.233333,0,0.499571,0.0012413,0.620739,0.246011,215.882,7.19607,3.61621,3.26377,0.0378747,0.0311049,0.0292656,0.0293262,0.977538
2b835fe22c92,12,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0374406,0.3,0,0.503444,0.00109161,0.639897,0.218138,190.915,6.36383,7.21936,6.6884,0.0632214,0.0404808,0.0567485,0.0319955,1.06652
855ece38b126,13,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0476697,0.3,0,0.510333,0.00111982,0.616586,0.250664,217.35,7.24501,4.32118,3.75962,0.0737863,0.0448244,0.0612862,0.0611343,2.03781
8041b439aa49,14,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.042434,0.366667,0,0.506955,0.00116941,0.588697,0.248475,180.837,6.02791,4.15991,3.50421,0.0765831,0.037196,0.0315231,0.0346234,1.15411
0618af70ca99,15,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.041534,0.266667,0,0.504125,0.00104559,0.645022,0.262347,220.703,7.35675,6.40699,7.55211,0.074064,0.029545,0.00114446,0.0611636,2.03879
3c175fa9cb72,16,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.039716,0.266667,0,0.488125,0.0011519,0.608082,0.210554,228.549,7.61829,2.59069,1.71197,0.0516324,0.0329256,0.0182279,0.0618134,2.06045
12667227ceda,17,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0569088,0.3,0,0.432389,0.00104873,0.606768,0.0319081,194.698,6.48993,2.15678,1.22215,0.0653246,0.043112,0.0329665,0.0614397,2.04799
e41032b9b30a,18,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0365673,0.266667,0,0.493812,0.00124946,0.618968,0.256059,196.964,6.56546,7.09001,5.13954,0.0807248,0.0419311,0.086767,0.0317234,1.05745
49eca071388f,19,0.19,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.19,0.0486769,0.3,0,0.454667,0.00120283,0.587886,0.154599,217.175,7.23917,3.19466,2.85707,0.0632953,0.0475294,0.0404582,0.0322849,1.07616
fd6b74192245,0,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.036632,0.233333,0,0.506286,0.00108795,0.663717,0.316205,200.683,6.68944,0.702348,0.699393,0.0381907,0.0356784,0.0105154,0.0298121,0.993736
4069b1b1198d,1,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0453093,0.3,0,0.514944,0.00101386,0.64833,0.25459,206.547,6.8849,0.838518,0.557263,0.0492444,0.0386549,0.0260738,0.0629206,2.09735
bf27f942ea48,2,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0497624,0.3,0,0.488333,0.00123068,0.621347,0.127745,188.244,6.27479,5.16479,5.51356,0.0798614,0.0396847,0.02825,0.0335284,1.11761
ea6a28d04c37,3,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0413762,0.266667,0,0.526875,0.00112091,0.635775,0.253625,198.132,6.6044,4.3482,3.5147,0.06576,0.0258355,0.0253621,0.0609444,2.03148
0b602db138f5,4,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0503577,0.266667,0,0.503313,0.00110549,0.63212,0.271501,197.041,6.56803,4.25612,4.17742,0.0600016,0.0409758,0.0261955,0.0615109,2.05036
1809958f7439,5,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.043232,0.3,0,0.499167,0.00116101,0.630955,0.13589,205.348,6.84493,1.14618,0.880337,0.0459724,0.0443304,0.00768911,0.0616441,2.0548
1197c5bc06bd,6,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0424877,0.3,0,0.5055,0.00104691,0.633314,0.273188,204.325,6.81084,2.92202,2.83135,0.0592266,0.0375914,0.0252561,0.0329412,1.09804
ccb683ea8021,7,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0504147,0.333333,0,0.52045,0.00111422,0.61605,0.285371,206.69,6.88967,3.9925,3.6931,0.0860625,0.051766,0.0903666,0.0337993,1.12664
ae8a34a980e6,8,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0879272,0.266667,0,0.463437,0.0010375,0.620838,0.242382,189.742,6.32473,4.76076,4.3905,0.0924578,0.078584,0.0189192,0.0309134,1.03045
fdaa44ec53e5,9,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0392997,0.333333,0,0.5297,0.00122832,0.596878,0.312136,193.632,6.45441,0.577138,0.383331,0.0413268,0.033817,0.0233887,0.0338323,1.12774
6d1a1ba96155,10,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0279727,0.266667,0,0.512437,0.00112007,0.630393,0.310661,207.839,6.92796,1.88291,1.75919,0.0422171,0.0220703,0.0324241,0.0305623,1.01874
261d75d7e6d7,11,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0296445,0.233333,0,0.526214,0.00121375,0.65237,0.29683,208.844,6.96147,3.48327,3.12885,0.0374578,0.0315436,0.0284569,0.029619,0.987299
7545be8d4209,12,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0431192,0.266667,0,0.493,0.00102691,0.646568,0.249864,191.949,6.39832,4.70029,3.99535,0.062416,0.0433882,0.045596,0.0304491,1.01497
c2e508a171d6,13,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.046703,0.3,0,0.524278,0.00132909,0.596458,0.309412,210.43,7.01432,2.59422,2.30046,0.067803,0.0420632,0.0440273,0.065266,2.17553
e9c6cb83f2ed,14,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0433444,0.266667,0,0.517875,0.0012389,0.633025,0.293083,186.98,6.23267,2.82508,2.02642,0.0750767,0.0330116,0.0341739,0.0328072,1.09357
4dfc15d5be25,15,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0497968,0.266667,0,0.513313,0.00104664,0.635247,0.321708,206.193,6.87309,4.73024,5.53502,0.0806954,0.035507,0.00147794,0.0621843,2.07281
4014123f5ee2,16,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0395729,0.266667,0,0.481438,0.00104061,0.623327,0.160014,218.904,7.29681,2.56872,2.07715,0.0520332,0.0325709,0.01925,0.0625269,2.08423
02d1635acf3f,17,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0597041,0.3,0,0.486111,0.000980646,0.624378,0.049194,190.758,6.35862,1.95938,1.09423,0.0735913,0.0425246,0.0491318,0.0608871,2.02957
9b465e29a0d2,18,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0354122,0.266667,0,0.523625,0.00110694,0.656974,0.30688,196.052,6.53507,5.81492,3.85004,0.0819835,0.0376033,0.0968707,0.0314832,1.04944
8f3f0e1331c1,19,0.253,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.253,0.0472724,0.333333,0,0.5227,0.00114788,0.612597,0.247295,205.476,6.84922,2.721,2.40411,0.0657034,0.044523,0.0483376,0.0335246,1.11749
161a5be6d6d3,0,0.337,labdesktop,2026-09-20T09:56:16+00:00,1073b69d29e5,0.337,0.0381084,0.233333,0,0.514071,0.00118973,0.642914,0.346065,182.844,6.09478,0.616336,0.469117,0.0395963,0.0331462,0.0195606,0.0291113,0.970375
cb0675a7abb1,1,0.337,labdesktop,2026-09-20T09:56:17+00:00,1073b69d29e5,0.337,0.0461323,0.3,0,0.497944,0.00111116,0.637471,0.238077,187.052,6.23507,0.744393,0.574128,0.0502968,0.0353115,0.0390223,0.0641033,2.13678
d8c2c804544e,2,0.337,labdesktop,2026-09-20T09:56:17+00:00,1073b69d29e5,0.337,0.0620275,0.266667,0,0.496938,0.00122628,0.619044,0.16868,176.466,5.8822,2.41455,2.0179,0.0808289,0.0391319,0.0205043,0.032428,1.08093
