run_id,seed,variant,host,date,code,turn_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
316f6e5e138e,11,0.00253,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.00253,0.0347776,0.1625,0,0.512354,0.00273546,0.674014,0.00390744,2760.45,6.90113,3.32845,2.34352,0.0348186,0.0120222,0.0519537,0.221045,0.552612
e1d8d5f947ff,12,0.00253,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.00253,0.0343312,0.1575,0,0.542857,0.00267427,0.686764,0.190892,2826.1,7.06525,2.82161,2.1996,0.0364274,0.0143836,0.0426547,0.223564,0.55891
8d89713beec9,13,0.00253,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.00253,0.0364429,0.1575,0,0.527714,0.00261435,0.685075,0.0894958,2802.58,7.00645,2.71643,2.07668,0.0378759,0.0146508,0.0257878,0.224667,0.561666
7cc4717b0d94,14,0.00253,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.00253,0.0357022,0.1625,0,0.518077,0.00272233,0.682374,0.140578,2721.66,6.80415,2.86796,2.24857,0.0374912,0.0118767,0.0624355,0.220566,0.551414
29c392c34753,15,0.00253,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.00253,0.037318,0.16,0,0.526266,0.00263534,0.694926,0.158369,2759.92,6.8998,3.56773,2.53879,0.0394064,0.0119557,0.0108193,0.222815,0.557038
e564f5465892,16,0.00253,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.00253,0.0341421,0.175,0,0.512343,0.00272697,0.681295,0.0164702,2734.75,6.83687,3.33863,2.76975,0.036217,0.0145439,0.0278315,0.263893,0.659732
71054536aa49,17,0.00253,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.00253,0.0327004,0.16,0,0.516734,0.00273933,0.676691,0.0212397,2757.65,6.89412,2.78933,1.96533,0.0339527,0.0140485,0.017053,0.221647,0.554117
06c77ac10f5f,18,0.00253,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.00253,0.0411908,0.1625,0,0.529969,0.00263371,0.682593,0.0508113,2779.65,6.94914,3.19946,2.33491,0.0433725,0.0152653,0.0565606,0.2294,0.5735
1039f414d78b,19,0.00253,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.00253,0.0386097,0.1625,0,0.516954,0.00273365,0.680502,0.105071,2716.08,6.79019,3.01743,2.41299,0.038884,0.0164345,0.0162635,0.229564,0.573911
3cacf8b02cc7,0,0.0045,labdesktop,2026-09-20T09:56:27+00:00,1073b69d29e5,0.0045,0.030757,0.1775,0,0.525958,0.00263116,0.663847,0.0921141,2838.75,7.09688,1.50582,1.18292,0.031312,0.0133333,0.0261863,0.237592,0.593979
