step,true_x,true_y,true_yaw,dr_x,dr_y,dr_yaw,est_x,est_y,est_yaw
13,0.0,0.0,0.0,-0.3055319017617399,-0.011861945012101333,0.043931795854882605,-0.32956399158488836,-0.006253394655577146,0.019905561185488363
14,0.0,0.0,0.0,-0.2777103553564867,-0.010638907591966375,0.014628659759078122,-0.30866629412046603,-0.005719844447429112,0.0010396405471371217
15,0.0,0.0,0.0,-0.21901354371706827,-0.009780190650197132,0.024898650984311654,-0.2801877801580889,-0.0060050413803278335,0.0008379752933067586
16,0.0,0.0,0.0,-0.22912946794554934,-0.010032115578781175,0.0013037367771593367,-0.3097736679131622,-0.007547055732201353,0.02032484556491454
17,0.0,0.0,0.0,-0.2747178534418843,-0.010091550867238707,0.021884713916873633,-0.3477198629654071,-0.008377187222508842,0.02987639543323617
18,0.0,0.0,0.0,-0.32239948091442505,-0.011135216266833257,0.008056151862458005,-0.4098479604453742,-0.010243354493293543,0.01139708786788951
19,0.0,0.0,0.0,-0.2909199279931843,-0.010881606721360078,0.020257437538013345,-0.35574464786557897,-0.008831316109409558,0.022121840813344562
20,0.0,0.0,0.0,-0.23749434891221238,-0.009799193325061654,0.017175698662968752,-0.33647117048656733,-0.005257207007788746,0.03268893403042661
21,0.0,0.0,0.0,-0.2627182765345188,-0.010232474512488232,0.02306399064830167,-0.3410343380941984,-0.005381157342599766,0.025305969583849564
22,0.0,0.0,0.0,-0.2472362040270033,-0.0098753328078141,0.011192951975932175,-0.3141930088928552,-0.0038157528194892936,0.013907681115171933
23,0.0,0.0,0.0,-0.17228584020978932,-0.009036381949540973,-0.01068709639631038,-0.24183333595192308,-0.00105636524654268,0.009258572387771835
24,0.0,0.0,0.0,-0.15940677719100263,-0.009174026977887908,-0.03545688104600897,-0.24850680233762507,-0.0003068709291761013,0.0014844023087721148
25,0.0,0.0,0.0,-0.19373770572585486,-0.007956248959568204,-0.034728838323440314,-0.29736028047486807,-3.66676799597117e-05,0.01048939320338782
26,0.0,0.0,0.0,-0.23102091147147755,-0.0066609257334204275,-0.028101130625639126,-0.3230298991423245,-0.0005969772646826234,0.020683824966561293
27,0.0,0.0,0.0,-0.19768261343527635,-0.0075980162795625675,-0.031835530477595686,-0.2821452704000582,5.896114973265216e-05,0.021805319805019874
28,0.0,0.0,0.0,-0.18056733071353354,-0.008143074535755532,-0.04881997606136812,-0.28109018351294596,0.00028708480808862326,0.004552967259483509
29,0.1,0.0,0.009999999999999787,0.04079639876572155,-0.018958640446165305,-0.002388684102160532,-0.06745826635690756,0.00016014457698822052,0.05116158776974755
30,0.19999500004166654,0.000999983333416645,0.019999999999999574,0.11791632448270224,-0.019142855937051693,0.013301051840595601,0.02413153372587054,0.0013182347844189791,0.05401197664919266
31,0.29997500070832434,0.0029998500027499106,0.02999999999999936,0.2225917642762266,-0.017750480372861623,-0.003489695656544889,0.10043152794315233,0.007005879177579064,0.035539081240040904
32,0.3999300040832231,0.005999400022999413,0.03999999999999915,0.41142243926571076,-0.018409444634147308,0.0016793458511936699,0.2947677781813689,0.016429207273120937,0.053448073192217116
33,0.4998500147493209,0.009998333441662744,0.049999999999998934,0.546040881611494,-0.018183373498977598,-0.010812073434484759,0.43612287765423374,0.02734143085004906,0.05030078128855875
34,0.5997250407888175,0.01499625036873047,0.05999999999999872,0.6824460552326213,-0.01965825372508509,0.002211325154029442,0.5440102005960216,0.032396740000370454,0.08414889187990715
35,0.699545094782338,0.0209926510166748,0.06999999999999851,0.7528318283904746,-0.019502607640714247,0.010754877127201912,0.6022435497250651,0.03549503427355403,0.08232452421402758
36,0.7993001948076659,0.02798693575042793,0.0799999999999983,0.8441981379320368,-0.018519936320063674,0.0033174276820009396,0.6472360796074998,0.03892004032689235,0.07646068122201122
37,0.8989803654379278,0.03597840514734503,0.08999999999999808,1.047041714423945,-0.01784701495571844,0.01746634572984851,0.8199508475213297,0.05266555328163242,0.09592795156633382
38,0.9985756387391272,0.04496626006714594,0.09999999999999787,1.1496362780992258,-0.016054880588781212,-0.005985878615407447,0.9013005368674815,0.06671829428510682,0.08349253286466585
39,1.0980760552669298,0.05494960173182854,0.10999999999999766,1.188773070142184,-0.01628915147338676,-0.020730362240886535,0.9123992267929096,0.06997695784411531,0.07865798422980363
40,1.1974716650625994,0.06592743181554579,0.11999999999999744,1.3902737981284812,-0.020466933037802275,-0.01084320557254248,1.0649599341654619,0.08458115940878276,0.10240090151489856
