run_id,seed,variant,host,date,code,forward_std,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,log_likelihood,log_likelihood_per_step,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
12b71203b677,16,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0404862,0.266667,0,0.4685,0.00129926,0.585502,0.0924172,227.474,7.58247,2.534,1.82658,0.051441,0.0320502,0.0248373,0.0314868,1.04956
8b8dd8f75c45,17,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0565388,0.3,0,0.432278,0.00112654,0.597998,0.0381362,195.045,6.50149,2.4269,1.59857,0.067341,0.0424852,0.0476775,0.0666256,2.22085
44506a57ee1c,18,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0395714,0.266667,0,0.494875,0.00122455,0.625204,0.265791,198.895,6.62982,4.3761,3.82152,0.0779528,0.0418207,0.079183,0.0323275,1.07758
f17324a35a90,19,0.01125,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.01125,0.0467361,0.333333,0,0.47495,0.00129166,0.566631,0.180064,216.068,7.20228,2.38335,2.39412,0.0632254,0.045355,0.0479726,0.0671753,2.23918
67e5185c2617,0,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0417266,0.4,0,0.530958,0.00106277,0.578456,0.267605,204.921,6.83071,0.909818,0.811509,0.0442581,0.0390636,0.00434098,0.0698817,2.32939
4bba78abb6fd,1,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0502413,0.4,0,0.528542,0.000987944,0.615505,0.243723,214.067,7.13557,1.06988,0.777528,0.0531337,0.0371138,0.0187595,0.0680742,2.26914
7b46bb945cb4,2,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0691782,0.333333,0,0.479,0.00122242,0.579037,0.0821265,193.1,6.43665,4.36292,3.94898,0.0820192,0.0370035,0.0543872,0.0343361,1.14454
c8f4f443a5cb,3,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0469581,0.333333,0,0.50295,0.00121994,0.570163,0.246875,204.367,6.81222,2.27242,1.71276,0.0624393,0.023428,0.0196449,0.0343104,1.14368
449a9bdf7888,4,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0503281,0.366667,0,0.512455,0.00107763,0.58639,0.219294,198.595,6.61984,5.31262,4.32363,0.0570493,0.0376598,0.0452024,0.035283,1.1761
9c4e7516ee29,5,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0555517,0.333333,0,0.48665,0.00111899,0.610253,0.0582121,210.133,7.00444,1.8161,1.24119,0.0616091,0.0557045,0.0383525,0.0339824,1.13275
4ba9c5de396e,6,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0551099,0.333333,0,0.46905,0.00106848,0.60228,0.181122,210.212,7.00705,2.32616,2.16996,0.0589728,0.0417813,0.0564703,0.0336471,1.12157
bfccdcffeab5,7,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0479004,0.333333,0,0.5188,0.00125548,0.590428,0.254821,213.112,7.10372,3.09805,2.75248,0.0721273,0.0449083,0.0725772,0.0673292,2.24431
9847b72cb50b,8,0.02,labdesktop,2026-09-20T09:56:20+00:00,1073b69d29e5,0.02,0.0932709,0.366667,0,0.484409,0.00113339,0.577463,0.125414,189.663,6.32211,7.53542,8.43181,0.110146,0.0902536,0.0403762,0.0674559,2.24853
