run_id,seed,variant,host,date,code,n_particles,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
8a231ff7d009,14,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.21935,0.466667,0,0.467143,0.0175878,0.521254,0.010425,1.94705e+06,1.2062,0.263513,0.326663,0.0968188,0.00894348,0.298116
f4253ed6f63a,15,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.22052,0.4,0,0.4425,0.0202078,0.536745,0.0102357,484751,0.651489,0.286231,0.142355,0.102051,0.00839908,0.279969
5afe471c03a6,16,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.58855,0.7,0,0.437143,0.0137884,0.404188,0.0238132,218021,11.7771,0.783992,1.03685,0.0346556,0.0102478,0.341592
4a32db1de4eb,17,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.144881,0.433333,0,0.476154,0.0187615,0.550804,0.0314188,7.84393,0.533784,0.173072,0.266259,0.109967,0.00869088,0.289696
de42f6823b16,18,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.153615,0.466667,0,0.447143,0.0193437,0.511345,0.0153564,2.03453,0.472284,0.183946,0.7422,0.156527,0.00867736,0.289245
782e86a6d7de,19,100,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,100,0.601868,0.766667,0,0.370435,0.0125039,0.334732,0.0113481,1.39113e+06,78.2166,0.901115,1.08534,0.0408324,0.0110788,0.369292
5c25e09dce75,0,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.101998,0.366667,0,0.455273,0.00806954,0.558523,0.0110845,1.41708,0.389287,0.11532,0.227635,0.106004,0.014548,0.484935
2b51b22ebae0,1,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.388806,0.566667,0,0.439765,0.00641962,0.477229,0.0102592,82.249,0.706541,0.43613,0.928571,0.0534596,0.016766,0.558865
ae827824b08f,2,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.139331,0.433333,0,0.448308,0.00756869,0.530209,0.00887568,9.96336,0.887433,0.188603,0.788279,0.0756427,0.0153436,0.511452
b2bbcb1cc89c,3,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.0940364,0.4,0,0.471,0.00772134,0.553196,0.0131401,1.44934,0.520351,0.10663,0.460375,0.0280762,0.0143547,0.47849
c85bea2228cf,4,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.103298,0.4,0,0.483,0.00782751,0.560098,0.00745443,0.950854,0.24331,0.10398,0.181131,0.133764,0.0147363,0.491208
e1b1daed4e8f,5,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.0915927,0.433333,0,0.462154,0.00720832,0.559885,0.0218331,0.454843,0.280588,0.105559,0.266881,0.0652154,0.0147542,0.491808
24e81302ae94,6,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.152651,0.433333,0,0.446769,0.00778849,0.524314,0.0102181,12.0858,0.968759,0.220143,0.841465,0.166597,0.0150771,0.502571
7058d19d76a8,7,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.0863699,0.4,0,0.463667,0.00806522,0.544278,0.0131547,1.05755,0.304306,0.109317,0.218636,0.0757076,0.0142664,0.475546
43fcea1f8a34,8,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.16805,0.4,0,0.490333,0.00768405,0.566326,0.00460699,3.75569,0.412387,0.215677,0.106642,0.0766706,0.0147568,0.491893
3b60416238f2,9,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.113518,0.4,0,0.491333,0.00741679,0.578619,0.00911239,0.847113,0.644273,0.137159,0.166087,0.07834,0.01467,0.489002
f68d2706b27b,10,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.1198,0.4,0,0.450667,0.00783518,0.550849,0.00973791,2.3584,0.651769,0.140122,0.38191,0.0466996,0.014628,0.487599
b60b6395a148,11,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.103199,0.366667,0,0.466909,0.00778673,0.570938,0.0071306,0.777798,0.552648,0.115436,0.0959986,0.16782,0.014262,0.475399
c40356fead09,12,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.186618,0.4,0,0.447,0.00853852,0.52017,0.00835396,4.46081,0.708322,0.234164,0.18158,0.0670798,0.0145041,0.483471
bb4852d77546,13,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.53915,0.7,0,0.421905,0.00606239,0.375717,0.00884561,381.794,28.0545,0.8081,1.18649,0.169238,0.0180254,0.600845
21cfe90f41fb,14,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.13945,0.366667,0,0.450909,0.00813625,0.557096,0.0113707,1.86435,0.67154,0.153446,0.217916,0.186458,0.0140659,0.468863
b93a955fdc8c,15,250,aiserver,2026-09-14T08:34:20+00:00,d7328d3e3c3f,250,0.166398,0.4,0,0.469667,0.00773749,0.558302,0.00544562,4.62213,0.399399,0.202505,0.271164,0.114669,0.0145163,0.483876
