run_id,seed,variant,host,date,code,resampler,n_particles,ate,resample_rate,collapses,unique_after_resampling,max_weight_mean,ess_mean,ess_min,map_error,map_error_aligned,landmarks_mapped,nees_mean,nees_median,position_rmse,heading_rmse,final_position_error,runtime_total_s,runtime_per_step_ms
1275ceeaf83f,9,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.275924,1,0,0.6104,0.02,0.889927,0.686159,2.39463,0.107609,8,1162.77,508.372,2.18083,0.141177,2.09108,1.36124,2.72248
058f0fc6bfe7,10,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.20319,1,0,0.60952,0.02,0.897205,0.682861,0.610911,0.116424,8,38.2739,21.6501,0.547046,0.0484231,0.881341,1.357,2.714
9439634f8683,11,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:40+00:00,d7328d3e3c3f,multinomial,50,0.207238,1,0,0.60964,0.02,0.893908,0.652766,0.926549,0.0862583,8,389.222,139.5,0.894314,0.0338991,0.759847,1.35855,2.7171
75f1414b37ff,12,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,multinomial,50,0.173299,1,0,0.61336,0.02,0.893457,0.670045,0.629683,0.0749357,8,179.748,56.7485,0.650137,0.0231935,0.498711,1.34309,2.68619
f26947cbd48c,13,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,multinomial,50,0.182748,1,0,0.609,0.02,0.891579,0.668138,1.3048,0.0955458,8,175.83,84.7333,1.09097,0.0894967,1.37743,1.3533,2.70661
9a5907a11e4b,14,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,multinomial,50,0.249439,1,0,0.61188,0.02,0.891861,0.680222,1.33467,0.124498,8,203.516,134.803,1.10737,0.0926965,0.659694,1.34792,2.69585
a8fe950876e7,15,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,multinomial,50,0.277477,1,0,0.60544,0.02,0.895078,0.666643,0.679156,0.0685437,8,198.171,114.426,0.669707,0.0246456,1.01564,1.35223,2.70447
45d83f6f0923,16,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,multinomial,50,0.186486,1,0,0.6072,0.02,0.892027,0.634982,0.981828,0.108204,8,192.111,96.8634,0.944694,0.0547874,1.25723,1.35125,2.70251
469cbd0fe502,17,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,multinomial,50,0.210314,1,0,0.60996,0.02,0.894674,0.635589,1.97056,0.126159,8,459.374,326.599,1.7315,0.117212,1.40618,1.35747,2.71494
0bca73899be3,18,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,multinomial,50,0.256554,1,0,0.60952,0.02,0.890497,0.543395,0.604759,0.0788591,8,284.842,42.5427,0.604289,0.0255049,0.553765,1.36003,2.72005
16663838811e,19,"resampler: Multinomial, n_particles: 50",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,multinomial,50,0.200758,1,0,0.61,0.02,0.890969,0.664882,0.466549,0.065555,8,53.9836,12.2143,0.496282,0.040517,0.638402,1.35741,2.71482
68ce77228b53,0,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,residual,10,0.293993,1,0,0.7876,0.1,0.89249,0.571727,0.989968,0.0907302,8,5467.95,548.81,0.904964,0.0584097,0.598092,0.772373,1.54475
90f341714936,1,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,residual,10,0.288472,1,0,0.7878,0.1,0.895966,0.632726,1.75724,0.150577,8,13266.7,1805.51,1.70986,0.0822523,1.13611,0.775389,1.55078
43ad4cb4abdb,2,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,residual,10,0.205199,1,0,0.7838,0.1,0.889321,0.598171,0.424754,0.0649008,8,75.7469,16.9516,0.400694,0.0452028,0.607328,0.774041,1.54808
dc92d99c5f80,3,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,residual,10,0.345965,1,0,0.7898,0.1,0.893344,0.484513,0.386282,0.189584,8,3714.9,394.868,0.522564,0.0327457,0.567049,0.779154,1.55831
43c226ac665f,4,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,residual,10,0.251302,1,0,0.7866,0.1,0.891886,0.523591,0.428497,0.0946339,8,1438.81,265.271,0.493911,0.0405289,0.825813,0.774857,1.54971
d1fa719b8a8e,5,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,residual,10,0.249639,1,0,0.7828,0.1,0.893202,0.618212,0.668154,0.102336,8,1622.77,350.652,0.640513,0.0489588,0.448176,0.773541,1.54708
50b75749b9e9,6,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,residual,10,0.239327,1,0,0.785,0.1,0.895526,0.544919,0.669699,0.149293,8,2846.35,376.14,0.647473,0.0390123,0.632031,0.776388,1.55278
b56b6992f549,7,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:41+00:00,d7328d3e3c3f,residual,10,0.239374,1,0,0.7836,0.1,0.895061,0.551513,0.76856,0.156537,8,1613,351.974,0.703642,0.0514483,0.380662,0.780849,1.5617
c36672616c71,8,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.241034,1,0,0.7868,0.1,0.895951,0.591368,3.89099,0.129507,8,36273.7,4824.04,3.59331,0.235872,3.48996,0.78425,1.5685
143659082f48,9,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.34263,1,0,0.7874,0.1,0.889314,0.594715,0.585655,0.137287,8,1031.41,114.342,0.609996,0.0457728,0.65989,0.790943,1.58189
012de9cf19cb,10,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.228523,1,0,0.7866,0.1,0.896479,0.602847,2.91019,0.0960934,8,10663.6,2835.67,2.57585,0.188964,2.3135,0.789443,1.57889
76ab12d241f8,11,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.389615,1,0,0.7826,0.1,0.883239,0.592939,0.508803,0.183735,8,2079.83,261.474,0.589515,0.0329509,0.715364,0.79126,1.58252
cf84644eb5ad,12,"resampler: Residual, n_particles: 10",aiserver,2026-09-14T08:33:42+00:00,d7328d3e3c3f,residual,10,0.308549,1,0,0.7852,0.1,0.895784,0.629596,1.62307,0.201962,8,3336.64,708.079,1.30857,0.116135,0.959075,0.788932,1.57786
